Country,ISO3,Rank,TotalPopulation,ManpowerAvailable,TotalMilitaryPersonnel,ActivePersonnel,ReservePersonnel,TotalAircraftStrength,FighterAircraft,AttackAircraft,TotalHelicopterStrength,AttackHelicopters
Mexico,MEX,34,123166749,60000000,383575,273575,110000,452,0,42,209,0
Argentina,ARG,35,43886748,20000000,127720,75000,52720,248,32,64,86,0
Norway,NOR,36,5265158,2150000,72500,26500,46000,106,46,46,35,0
Switzerland,SWI,37,8179294,3615000,171000,21000,150000,183,64,63,42,0
Netherlands,NET,38,17016967,7800000,53205,42705,10500,164,61,66,74,28
Peru,PER,39,30741062,15200000,369330,100830,268500,267,28,68,97,16
Colombia,COL,40,47220856,24000000,511550,369100,142450,457,19,56,250,0
Ethiopia,ETH,41,102374044,40000000,162000,162000,0,80,24,24,33,8
Romania,ROM,42,21599736,11050000,177750,72750,105000,134,31,26,68,0
Nigeria,NIG,43,186053386,72400000,181000,124000,57000,110,9,22,39,9
Syria,SYR,44,17185170,11600000,304000,154000,150000,461,206,225,167,28
Venezuela,VEN,45,30912302,14200000,123000,115000,8000,280,39,33,88,10
South Africa,SAF,46,54300704,26000000,94050,78050,16000,231,17,17,95,12
Chile,CHI,47,17650114,8600000,137850,65000,72850,243,44,44,84,0
Uzbekistan,UZB,48,29473614,15800000,76500,56500,20000,175,69,89,70,25
Belarus,BLR,49,9570376,5000000,401250,56500,344750,193,43,105,62,21
Philippines,PHI,50,102624209,50700000,498250,172500,325750,149,0,8,98,0
Angola,ANG,51,20172332,6030000,175500,107000,68500,285,60,78,118,15
Denmark,DEN,52,5593785,2500000,75150,20800,54350,84,33,35,34,0
Austria,AST,53,8711770,4000000,170000,25000,145000,123,15,15,67,0
Morocco,MOR,54,33655786,17000000,373000,198000,175000,278,46,50,128,0
Kazakhstan,KAZ,55,18360353,8500000,106500,74500,32000,239,91,142,67,18
Finland,FIN,56,5498211,2300000,262050,29350,232700,153,54,54,27,0
Bangladesh,BAN,57,156186882,37000000,225000,160000,65000,166,45,45,61,0
Azerbaijan,AZR,58,9872765,5000000,374500,67000,307500,135,18,29,93,17
Iraq,IRQ,59,38146025,16000000,318000,168000,150000,151,13,15,161,32
United Arab Emirates,UAE,60,5927482,3660000,64000,64000,0,536,104,96,203,30
Bolivia,BOL,61,10969649,5000000,81900,44800,37100,85,0,0,38,0
Portugal,POR,62,10833816,5030000,268500,35000,233500,137,64,64,25,0
Hungary,HUN,63,9874784,4650000,77250,23250,54000,33,11,11,16,0
Yemen,YEM,64,27392779,11040000,43500,43500,0,169,77,77,61,14
Singapore,SIN,65,5781728,1260000,504500,72000,432500,226,92,119,76,17
Belgium,BEL,66,11409077,4800000,38800,32300,6500,173,49,49,37,0
Bulgaria,BUL,67,7144653,3300000,52650,33150,19500,66,15,31,22,0
Croatia,CRO,68,4313707,2100000,21525,18525,3000,74,12,12,36,0
Afghanistan,AFG,69,33332025,14000000,200000,200000,0,205,0,15,142,6
Ecuador,ECU,70,16080778,7600000,158500,40000,118500,122,10,10,45,0
Sudan,SUD,71,36729501,20850000,282150,177150,105000,181,46,84,70,41
Jordan,JOR,72,8185384,3300000,170600,105600,65000,260,46,74,134,47
Libya,LIB,73,6541948,3500000,100000,35000,65000,121,21,20,26,8
Slovakia,SLK,74,5445802,2780000,14675,14675,0,42,12,12,16,0
Cuba,CUB,75,11179995,6000000,1256000,69500,1186500,80,39,39,14,4
Democratic Republic of the Congo,DRC,76,81331050,16000000,144625,144625,0,41,2,6,27,8
Kenya,KEN,77,46790758,19300000,29150,24150,5000,131,17,17,61,0
Tunisia,TUN,78,11134588,5800000,50150,38150,12000,148,12,12,83,0
Oman,OMA,79,3355262,1730000,61800,57300,4500,116,17,27,50,0
Kuwait,KUW,80,2832776,1620000,46500,15500,31000,106,27,27,43,16
Zimbabwe,ZIM,81,14546961,5500000,52000,30000,22000,92,10,10,28,6
Georgia,GEO,82,4928052,2250000,35825,30325,5500,68,0,11,42,11
Serbia,SER,83,7143921,3500000,90075,40075,50000,121,24,41,39,0
Sri Lanka,SRL,84,22235000,10850000,300700,202500,98200,69,1,23,45,9
Zambia,ZAM,85,15510711,6000000,19600,15100,4500,81,18,18,25,0
Turkmenistan,TKM,86,5291317,2770000,30000,30000,0,72,24,44,25,10
Mongolia,MON,87,3031330,1800000,150275,10275,140000,9,0,0,6,0
Chad,CHD,88,11852462,4600000,30500,30500,0,38,1,9,19,5
Cambodia,CMB,89,15957223,8000000,195000,125000,70000,22,0,0,17,0
Albania,ALB,90,3038594,1515000,64000,50000,14000,23,0,0,23,0
Qatar,QTR,91,2258283,600000,12000,12000,0,98,9,15,43,0
Uganda,UGA,92,38319241,14300000,56500,45000,11500,43,10,13,21,5
Armenia,ARM,93,3051250,1700000,215700,44800,170900,64,0,11,42,15
Bahrain,BAH,94,1378904,800000,47405,11600,35805,102,25,25,62,22
Lithuania,LIT,95,2854235,1800000,23015,16015,7000,10,0,1,5,0
Tanzania,TAN,96,52482726,10000000,110000,30000,80000,30,14,14,2,0
Nepal,NEP,97,29033914,14600000,157000,95000,62000,22,0,0,18,0
Lebanon,LEB,98,6237738,2200000,116000,96000,20000,63,0,0,54,0
South Sudan,SSU,99,12530717,6700000,197500,197500,0,9,0,0,9,0
Guatemala,GUA,100,15189958,6600000,106775,16775,90000,35,0,4,19,0
Ghana,GHA,101,26908262,12500000,13500,13500,0,25,0,0,14,0
New Zealand,NWZ,102,4474549,2100000,11300,9000,2300,48,0,0,21,0
Latvia,LAT,103,1965686,850000,17155,9155,8000,4,0,0,4,0
Uruguay,URU,104,3351016,1555000,25900,25000,900,50,0,13,10,0
Paraguay,PAR,105,6862812,3360000,183200,10700,172500,31,0,0,10,0
Honduras,HON,106,8893259,4100000,76000,12000,64000,35,3,12,9,0
Botswana,BOT,107,2209208,948157,9000,9000,0,43,10,10,16,0
Kyrgyzstan,KYR,108,5727553,3000000,23700,13700,10000,6,0,0,6,2
Mozambique,MOZ,109,25930150,4600000,11200,11200,0,15,8,8,5,2
Estonia,EST,110,1258545,600000,35000,5000,30000,6,0,0,4,0
Cameroon,CAM,111,24360803,9300000,25000,15000,10000,34,0,0,16,0
Tajikistan,TAJ,112,8330946,4035000,14900,7400,7500,25,0,0,20,6
Slovenia,SLV,113,1978029,942000,15500,7500,8000,28,0,2,16,0
Niger,NGR,114,18638600,6600000,11000,5500,5500,17,0,2,7,1
Nicaragua,NIC,115,5966798,3005000,13000,13000,0,19,0,0,16,0
Ivory Coast,IVC,116,23740424,10300000,17450,17450,0,5,0,0,4,0
Mali,MAL,117,17467108,6000000,15500,7500,8000,14,9,9,3,3
Republic of the Congo,ROC,118,4852412,1900000,12000,10000,2000,15,4,4,10,3
Madagascar,MAD,119,24430325,9900000,21600,13500,8100,20,0,0,4,0
Gabon,GAB,120,1738541,705000,4850,4850,0,33,6,9,16,0
Bosnia and Herzegovina,BOS,121,3861912,2400000,12750,12750,0,20,0,0,20,0
Macedonia,MAC,122,2100025,1046540,24055,8055,16000,16,0,0,16,4
Dominican Republic,DOM,123,10606865,3535621,65925,50925,15000,58,0,8,26,0
Laos,LAO,124,7019073,3200000,130000,30000,100000,25,0,0,22,0
El Salvador,ESL,125,6156670,3100000,47000,20000,27000,52,0,15,30,0
Panama,PAN,126,3705246,900000,34000,12000,22000,25,0,0,15,0
Namibia,NAM,127,2436469,570000,15500,9500,6000,31,6,6,8,2
Somalia,SOM,128,10817354,2700000,15900,15900,0,25,0,0,0,0
Central African Republic,CAR,129,5507257,2300000,5825,5825,0,4,0,0,2,0
Mauritania,MAU,130,3677293,1523335,20870,15870,5000,26,0,2,4,0
Sierra Leone,SIE,131,6018888,1402400,10750,10750,0,5,0,0,5,0
Suriname,SUR,132,585824,131700,2270,2170,100,3,0,0,3,0
Bhutan,BUT,133,750125,175000,7500,7500,0,4,0,0,2,0
