"Bug
ID",Product,Component,Assignee,Status,Resolution,Summary,Changed,"Assignee
Real
Name",Classification,Hardware,"Number of
Comments",Opened,OS,Priority,Reporter,"Reporter
Real
Name",Severity,"Target
Milestone",Version,Votes
10929,JDT,UI,aeschli,VERIFIED,FIXED,All types cache is flushed to frequently,3/20/2002 8:18,Martin Aeschlimann,Eclipse,PC,6,3/7/2002 4:45,Windows 2000,P1,erich_gamma,Erich Gamma,normal,2.0 M4,2,0
24911,JDT,UI,aeschli,VERIFIED,FIXED,quick fix: NPE on 'change visibility to default' [quick fix],11/14/2002 9:01,Martin Aeschlimann,Eclipse,PC,5,10/17/2002 5:56,Windows 2000,P1,akiezun,Adam Kiezun,major,2.1 M3,2,0
30991,JDT,UI,aeschli,VERIFIED,FIXED,NPE in New Java Project Wizard,2/24/2003 10:28,Martin Aeschlimann,Eclipse,PC,5,2/5/2003 12:51,Windows XP,P1,csmclaren,Chris McLaren,critical,2.1 RC1,2.1,0
32831,JDT,UI,aeschli,VERIFIED,FIXED,NPE buildpaths.CPVariableElement.equals(),3/19/2003 10:43,Martin Aeschlimann,Eclipse,PC,5,2/24/2003 17:12,Linux-Motif,P1,airvine,Andrew Irvine,normal,2.1 RC2,2.1,0
43518,JDT,UI,aeschli,VERIFIED,FIXED,Stepping through session bean is very slow in WSAD v5.1,10/17/2003 5:27,Martin Aeschlimann,Eclipse,PC,14,9/23/2003 11:52,Windows 2000,P1,stevenyj,Steven Jin,critical,2.1.2,2.1.1,0
44425,JDT,UI,aeschli,VERIFIED,FIXED,Illegal code in the code formatter preference page [code formatter],10/8/2003 17:44,Martin Aeschlimann,Eclipse,PC,9,10/8/2003 9:07,Windows 2000,P1,Olivier_Thomann,Olivier Thomann,blocker,3.0 M4,3,0
188521,Platform,User Assistance,agarcher,VERIFIED,FIXED,[Webapp] Test F1: 2)  Standalone infocenter not accessible through browser,6/11/2007 9:50,Adam Archer,Eclipse,All,15,5/22/2007 20:12,All,P1,mpawlow,Mike Pawlowski,normal,3.3 RC2,3.3,0
6341,JDT,UI,akiezun,VERIFIED,FIXED,NullPointerException from ReorgGroup,1/16/2002 2:31,Adam Kiezun,Eclipse,PC,2,11/27/2001 5:58,Windows 2000,P1,aeschli,Martin Aeschlimann,normal,---,2,0
7046,JDT,UI,akiezun,VERIFIED,FIXED,NPE trying to show context menu on method in Outliner,1/15/2002 6:14,Adam Kiezun,Eclipse,PC,2,12/18/2001 10:49,other,P1,eclipse,Joe Szurszewski,normal,---,2,0
7317,JDT,UI,akiezun,VERIFIED,FIXED,ClassCastException during move,1/15/2002 5:53,Adam Kiezun,Eclipse,PC,2,1/7/2002 14:05,Windows 2000,P1,fraenkel,Michael Fraenkel,normal,---,2,0
7639,JDT,UI,akiezun,VERIFIED,FIXED,NPE when renaming a local variable,2/13/2002 8:29,Adam Kiezun,Eclipse,PC,3,1/15/2002 14:44,Windows 2000,P1,Ian_Petersen,Ian Petersen,normal,---,2,0
7873,JDT,UI,akiezun,VERIFIED,FIXED,Bogus error messages,3/28/2002 5:22,Adam Kiezun,Eclipse,PC,5,1/17/2002 17:37,Windows NT,P1,lynne_kues,Lynne Kues,normal,---,2,0
8023,JDT,UI,akiezun,VERIFIED,FIXED,coreexception when draging packages to its own parent,2/13/2002 6:29,Adam Kiezun,Eclipse,PC,6,1/22/2002 12:32,Windows 2000,P1,aeschli,Martin Aeschlimann,major,---,2,0
8129,JDT,UI,akiezun,VERIFIED,FIXED,NPE in Extract Local Variable,3/28/2002 6:49,Adam Kiezun,Eclipse,PC,3,1/23/2002 10:12,Windows 2000,P1,aeschli,Martin Aeschlimann,normal,---,2,0
8730,JDT,UI,akiezun,VERIFIED,FIXED,wrong method deleted (packages view),3/28/2002 10:39,Adam Kiezun,Eclipse,PC,4,1/30/2002 5:35,Windows 2000,P1,akiezun,Adam Kiezun,major,---,2,0
11424,JDT,UI,akiezun,VERIFIED,FIXED,"ArrayIndexOutOfBoundsException at ""Expand Selection to Previous Element""",3/28/2002 4:00,Adam Kiezun,Eclipse,PC,5,3/14/2002 20:16,Windows 2000,P1,rele,Rene Leonhardt,normal,---,2,0
16283,Platform,Compare,akiezun,VERIFIED,FIXED,Add from Local History items are unsorted,6/3/2002 6:38,Adam Kiezun,Eclipse,PC,8,5/17/2002 13:29,Windows 2000,P1,nick_edgar,Nick Edgar,critical,2.0 F2,2,0
18071,JDT,UI,akiezun,VERIFIED,FIXED,Package Viewer: Too many refreshes,6/5/2002 7:47,Adam Kiezun,Eclipse,PC,8,5/28/2002 12:16,Windows 2000,P1,aeschli,Martin Aeschlimann,major,2.0 F2,2,0
18079,JDT,UI,akiezun,VERIFIED,FIXED,We must guard our Action against a Java editor not working on a CU,6/3/2002 6:32,Adam Kiezun,Eclipse,PC,5,5/28/2002 13:13,Windows 2000,P1,dirk_baeumer,Dirk Baeumer,critical,2.0 F2,2,0
18276,JDT,UI,akiezun,VERIFIED,FIXED,Java Search action set is missing the name for the menu,6/3/2002 6:24,Adam Kiezun,Eclipse,PC,5,5/30/2002 0:32,Windows 2000,P1,nick_edgar,Nick Edgar,normal,2.0 F2,2,0
18581,JDT,UI,akiezun,VERIFIED,FIXED,Single element view - markers from other elements shown,6/3/2002 8:08,Adam Kiezun,Eclipse,PC,9,6/1/2002 8:01,Windows 2000,P1,erich_gamma,Erich Gamma,critical,2.0 F2,2,0
19007,JDT,UI,akiezun,VERIFIED,FIXED,Assertion failure when copy/pasting import statement,6/13/2002 9:14,Adam Kiezun,Eclipse,PC,4,6/4/2002 8:31,Windows 2000,P1,dirk_baeumer,Dirk Baeumer,major,2.0 F3,2,0
23717,JDT,UI,akiezun,VERIFIED,FIXED,Assertion violation  when editing primary type declaration,9/18/2002 12:20,Adam Kiezun,Eclipse,PC,3,9/18/2002 10:15,Windows 2000,P1,markus_keller,Markus Keller,normal,---,2,0
25914,JDT,UI,akiezun,VERIFIED,FIXED,Method signature refactor does not update Outline,11/14/2002 9:50,Adam Kiezun,Eclipse,PC,7,11/8/2002 14:44,Windows 2000,P1,zipwow,Kevin Klinemeier,major,2.1 M3,2.1,0
31114,JDT,UI,akiezun,VERIFIED,FIXED,Moving linked resource onto self deletes linked resource,2/11/2003 18:04,Adam Kiezun,Eclipse,PC,7,2/6/2003 12:30,Windows 2000,P1,knut_radloff,Knut Radloff,major,2.1 RC1,2,0
31244,JDT,UI,akiezun,VERIFIED,FIXED,Renaming linked source folder copies content,2/26/2003 8:43,Adam Kiezun,Eclipse,PC,9,2/7/2003 6:27,Windows 2000,P1,dirk_baeumer,Dirk Baeumer,critical,2.1 RC1,2.1,0
351426,JDT,Core,amj87.iitr,VERIFIED,FIXED,[1.7][code assist] CompletionContext.getExpectedTypesKeys() returns wrong type,8/2/2011 9:01,Ayushman Jain,Eclipse,All,12,7/7/2011 7:38,All,P1,daniel_megert,Dani Megert,normal,3.7.1,3.7,0
2854,Platform,Compare,andre_weinand,VERIFIED,FIXED,Compare: Save code path problematic (1GJYGAX),5/14/2002 19:35,Andre Weinand,Eclipse,All,3,10/10/2001 22:44,Windows 2000,P1,James_Moody,James Moody,normal,2.0 M2,2,0
6525,JDT,UI,andre_weinand,VERIFIED,FIXED,wrong indent when using replace from local history,1/16/2002 3:43,Andre Weinand,Eclipse,PC,2,12/3/2001 18:19,Windows 2000,P1,erich_gamma,Erich Gamma,normal,---,2,0
6668,JDT,UI,andre_weinand,VERIFIED,FIXED,'Replace from History' doesn't use source range from working copy,1/16/2002 4:36,Andre Weinand,Eclipse,PC,2,12/7/2001 5:30,All,P1,andre_weinand,Andre Weinand,normal,---,2,0
13730,Platform,Compare,andre_weinand,VERIFIED,FIXED,Entire zipfiles content sent prior when computing synchronization view content,6/13/2002 4:57,Andre Weinand,Eclipse,PC,9,4/12/2002 18:16,Windows 2000,P1,philippe_mulet,Philipe Mulet,critical,2.0 F3,2,0
15294,JDT,UI,andre_weinand,VERIFIED,FIXED,Deleting an open unsaved resource causes error,6/3/2002 5:16,Andre Weinand,Eclipse,Other,7,5/5/2002 20:26,other,P1,srutledg,Scott Rutledge,normal,2.0 F2,2,0
15763,JDT,UI,andre_weinand,VERIFIED,FIXED,File Deleted dialog when renaming a file using Refactoring,6/3/2002 10:11,Andre Weinand,Eclipse,PC,9,5/10/2002 13:53,Windows 2000,P1,dirk_baeumer,Dirk Baeumer,normal,2.0 F2,2,0
16488,JDT,UI,andre_weinand,VERIFIED,FIXED,Missing message for missing jar,6/4/2002 5:53,Andre Weinand,Eclipse,PC,7,5/20/2002 17:02,Windows 2000,P1,jed.anderson,Jed Anderson,normal,2.0 F2,2,0
16709,JDT,UI,andre_weinand,VERIFIED,FIXED,Background file change not loaded when two editors open,6/4/2002 6:24,Andre Weinand,Eclipse,PC,7,5/21/2002 20:04,Windows 2000,P1,richkulp,Richard Kulp,blocker,2.0 F2,2,0
16733,JDT,UI,andre_weinand,VERIFIED,FIXED,Builder pref - Cannot exclude folder from resource copying,6/4/2002 8:23,Andre Weinand,Eclipse,PC,6,5/22/2002 6:17,Windows 2000,P1,philippe_mulet,Philipe Mulet,normal,2.0 F2,2,0
16781,JDT,UI,andre_weinand,VERIFIED,FIXED,Missing Working Set Icon,6/3/2002 8:11,Andre Weinand,Eclipse,PC,11,5/22/2002 9:44,Windows 2000,P1,daniel_megert,Dani Megert,trivial,2.0 F2,2,0
16811,JDT,UI,andre_weinand,VERIFIED,FIXED,J Working Sets not persisted,6/3/2002 9:15,Andre Weinand,Eclipse,PC,7,5/22/2002 10:28,Windows 2000,P1,daniel_megert,Dani Megert,major,2.0 F2,2,0
18807,Platform,Compare,andre_weinand,VERIFIED,FIXED,Compare with patch fails due to missing LF,6/13/2002 5:00,Andre Weinand,Eclipse,PC,12,6/3/2002 13:01,Windows 2000,P1,daniel_megert,Dani Megert,blocker,2.0 F3,2,0
136087,Platform,Compare,andre_weinand,VERIFIED,FIXED,Cannot replace with local history due to NoClassDefFoundError,4/26/2006 10:20,Andre Weinand,Eclipse,PC,7,4/11/2006 7:04,Windows XP,P1,jerome_lanneluc,Jerome Lanneluc,critical,3.2 RC1,3.1,0
141082,Platform,Compare,andre_weinand,VERIFIED,FIXED,CompareEditor.setInput() does not notify ISaveablesLifecycleListener,5/12/2006 11:06,Andre Weinand,Eclipse,All,12,5/10/2006 12:44,All,P1,bokowski,Boris Bokowski,critical,3.2 RC4,3.2,0
429301,Platform,SWT,arunkumar.thondapu,VERIFIED,FIXED,Workspace selection screen broken in N20140228-0245,3/3/2014 5:14,Arun Thondapu,Eclipse,PC,10,2/28/2014 5:22,Linux,P1,Lars.Vogel,Lars Vogel,blocker,4.4 M6,4.4,0
151683,JDT,UI,benno.baumgartner,VERIFIED,FIXED,[extract superclass] Extract Superclass without 'Use the extracted class' removes code,5/15/2008 11:02,Benno Baumgartner,Eclipse,PC,11,7/25/2006 8:28,Windows XP,P1,benno.baumgartner,Benno Baumgartner,major,3.3 RC2,3.2,0
15983,Platform,User Assistance,birsan,VERIFIED,WORKSFORME,clicking on white space collapses tree,5/15/2002 15:47,Dorian Birsan,Eclipse,PC,3,5/14/2002 17:43,other,P1,Dave_Thomson,Dave Thomson,normal,---,2,0
66801,Platform,Update  (deprecated - use RT>Equinox>p2),birsan,VERIFIED,FIXED,"""Reconciling"" an installation with multiple versions of the automatically started plugins fails",6/21/2004 21:41,Dorian Birsan,Eclipse,PC,12,6/11/2004 17:52,Windows XP,P1,birsan,Dorian Birsan,blocker,3.0 RC3,3,0
120582,Platform,UI,bokowski,VERIFIED,FIXED,[DataBinding] Current validators mix data type conversion and business rule validation concerns,2/16/2006 12:38,Boris Bokowski,Eclipse,PC,16,12/13/2005 10:25,All,P1,djo,Dave Orme,normal,3.2 M5,3.2,0
121939,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] TreeSelection should subclass StructuredSelection,2/14/2006 16:40,Boris Bokowski,Eclipse,PC,5,12/22/2005 17:10,Windows XP,P1,bokowski,Boris Bokowski,blocker,3.2 M5,3.2,0
123375,Platform,UI,bokowski,VERIFIED,FIXED,[DataBinding] Enhancements to the data binding framework,2/14/2006 17:21,Boris Bokowski,Eclipse,PC,19,1/10/2006 23:18,Windows XP,P1,sxenos,Stefan Xenos,normal,3.2 M5,3.2,0
126839,Platform,UI,bokowski,VERIFIED,FIXED,[DataBinding] IObservable refactoring,6/2/2006 15:22,Boris Bokowski,Eclipse,PC,7,2/7/2006 18:09,Windows XP,P1,bokowski,Boris Bokowski,normal,3.2 M6,3.2,0
134727,Platform,UI,bokowski,VERIFIED,FIXED,[WorkbenchParts] Double save prompt with view that implements ISaveablePart,5/15/2006 14:05,Boris Bokowski,Eclipse,PC,14,4/4/2006 8:26,Windows XP,P1,dsnoddy,Daniel Snoddy,normal,3.2 RC4,3.2,0
136855,Platform,UI,bokowski,VERIFIED,FIXED,[IDE] Deadlock caused by IDEIdleHelper and HeapStatus calls to runFinalization from UI thread,5/26/2006 14:52,Boris Bokowski,Eclipse,PC,14,4/14/2006 11:58,Windows XP,P1,tmhouser,Tom Houser,critical,3.2 RC2,3.2,0
138608,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] JFace AbstractTreeViewer: itemExists doesn't handle equal tree entries,8/31/2006 14:21,Boris Bokowski,Eclipse,PC,10,4/26/2006 8:27,Windows XP,P1,patrick_streule,Patrick Streule,major,3.2.1,3.2,0
141191,Platform,UI,bokowski,VERIFIED,FIXED,[WorkbenchParts] ISaveablePart2 prompting does not happen when closing a perspective,5/12/2006 11:30,Boris Bokowski,Eclipse,All,15,5/11/2006 0:12,All,P1,bokowski,Boris Bokowski,critical,3.2 RC4,3.2,0
164475,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] v3.2/v3.3 TableViewer sort performance much slower than v3.0.1,5/4/2007 9:36,Boris Bokowski,Eclipse,PC,10,11/14/2006 10:11,Windows XP,P1,alderson,Graham Alderson,normal,3.3 M7,3.2,0
171612,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] Breaking API change: DecoratingLabelProvider no longer extends LabelProvider,3/23/2007 8:52,Boris Bokowski,Eclipse,All,13,1/24/2007 17:13,All,P1,bokowski,Boris Bokowski,major,3.3 M6,3.3,0
172640,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] Virtual TreeViewer/ILazyTreePathContentProvider: preservingSelection and refresh not always working,5/4/2007 9:43,Boris Bokowski,Eclipse,PC,25,2/2/2007 5:49,Windows XP,P1,patrick_streule,Patrick Streule,normal,3.3 M7,3.3,0
175181,Platform,UI,bokowski,VERIFIED,FIXED,NavigatorSaveablesServices NPEs on shutdown,5/25/2007 12:44,Boris Bokowski,Eclipse,Other,17,2/22/2007 15:14,Linux,P1,shenyi8888,Yi Shen,major,3.3 RC2,3.2,0
180363,Platform,UI,bokowski,VERIFIED,FIXED,[LinkedResources] No way to create a linked resource based on a variable,5/4/2007 10:10,Boris Bokowski,Eclipse,All,12,3/31/2007 19:22,All,P1,eclipse.sprigogin,Sergey Prigogin,major,3.3 M7,3.3,0
181061,Platform,UI,bokowski,VERIFIED,FIXED,[Viewers] JFace viewers performance issues in 3.3,5/4/2007 10:12,Boris Bokowski,Eclipse,All,5,4/4/2007 16:46,All,P1,bokowski,Boris Bokowski,major,3.3 M7,3.2,0
7028,Platform,SWT,carolynmacleod4,VERIFIED,FIXED,ArrayIndexOutOfBoundsException by org.eclipse.swt.graphics.GC.drawImage(),4/16/2002 22:22,Carolyn MacLeod,Eclipse,PC,10,12/18/2001 5:23,Windows 2000,P1,saitoh,Masaki Saitoh,critical,---,1,0
15575,Platform,SWT,carolynmacleod4,VERIFIED,FIXED,Tree with checkbox items are not accessible,7/3/2002 13:10,Carolyn MacLeod,Eclipse,PC,6,5/8/2002 15:11,Windows 2000,P1,omosaiye,Sola,major,---,2,0
92704,Platform,Debug,chanskw,VERIFIED,FIXED,Classcast exception from Registers View,4/26/2005 10:56,Samantha Chan,Eclipse,PC,5,4/25/2005 18:22,Windows 2000,P1,chanskw,Samantha Chan,major,3.1 M7,3.1,0
136223,Platform,Debug,chanskw,VERIFIED,FIXED,Suspended thread does not show stackframe/missing thread labels,5/4/2006 13:00,Samantha Chan,Eclipse,PC,26,4/11/2006 19:18,Windows XP,P1,chanskw,Samantha Chan,normal,3.2 RC3,3.2,0
138527,Platform,Debug,chanskw,VERIFIED,FIXED,"Actions under the ""Run"" menu are incorrectly enabled at startup",5/4/2006 15:40,Samantha Chan,Eclipse,PC,12,4/25/2006 18:13,Windows XP,P1,chanskw,Samantha Chan,major,3.2 RC3,3.2,0
139853,Platform,Debug,chanskw,VERIFIED,FIXED,NPE in asynch tree viewer,5/4/2006 16:54,Samantha Chan,Eclipse,PC,16,5/2/2006 17:31,Linux-GTK,P1,chanskw,Samantha Chan,normal,3.2 RC3,3.2,0
81424,JDT,Text,christof_marti,VERIFIED,FIXED,NPE in PropertiesSpellingReconcileStrategy,12/17/2004 6:41,Christof Marti,Eclipse,PC,5,12/16/2004 11:50,Windows 2000,P1,john.arthorne,John Arthorne,normal,3.1 M4,3.1,0
29867,Platform,SWT,christophe.cornu+eclipse,VERIFIED,DUPLICATE,"DBCS: Select project ""Properties"" cause core dump in GTK",1/30/2003 5:41,Christophe Cornu,Eclipse,Other,6,1/21/2003 5:02,Linux-GTK,P1,scdev01,SC Development 01,critical,---,2.1,0
56667,Platform,SWT,christophe.cornu+eclipse,VERIFIED,FIXED,Minimization of top Shell widgets impossible (SWT.MIN & SWT.NONE) on PocketPC (BBAWT),4/8/2004 14:19,Christophe Cornu,Eclipse,All,6,3/29/2004 17:54,Windows CE,P1,cscarlos,Cohan Sujay Carlos,critical,---,3,0
4225,JDT,UI,Claude_Knaus,VERIFIED,FIXED,EC: bug in undo command (1GLE02N),1/31/2002 8:40,Claude Knaus,Eclipse,All,2,10/10/2001 23:08,All,P1,kai-uwe_maetzel,Kai-Uwe Maetzel,normal,---,2,0
5420,JDT,UI,Claude_Knaus,VERIFIED,FIXED,Eclipse crash after after NPE during code assist (template),11/2/2001 4:25,Claude Knaus,Eclipse,PC,2,11/1/2001 12:06,Windows NT,P1,daniel_megert,Dani Megert,major,---,2,0
5533,JDT,UI,Claude_Knaus,VERIFIED,FIXED,Intempestive code assist scenario,3/20/2002 10:13,Claude Knaus,Eclipse,PC,6,11/5/2001 10:26,Windows 2000,P1,philippe_mulet,Philipe Mulet,normal,2.0 M4,2,0
6322,JDT,UI,Claude_Knaus,VERIFIED,FIXED,All types dialog shows obfuscated classes,1/16/2002 3:52,Claude Knaus,Eclipse,PC,3,11/26/2001 12:57,Windows 2000,P1,erich_gamma,Erich Gamma,normal,---,2,0
6589,JDT,UI,Claude_Knaus,VERIFIED,FIXED,"ctrl+insert, shift+insert incorrectly flips the insert/overwrite bit",1/16/2002 5:09,Claude Knaus,Eclipse,PC,4,12/5/2001 10:22,Windows 2000,P1,akiezun,Adam Kiezun,normal,2.0 M1,2,0
6603,JDT,UI,Claude_Knaus,VERIFIED,FIXED,Index out of bounds at template preference page,1/16/2002 4:24,Claude Knaus,Eclipse,PC,2,12/5/2001 13:05,Windows 2000,P1,as,Alex Selkov,normal,---,2,0
6696,JDT,UI,Claude_Knaus,VERIFIED,FIXED,Code completion should indicate deprecated methods,1/16/2002 4:47,Claude Knaus,Eclipse,PC,2,12/7/2001 18:44,All,P1,erich_gamma,Erich Gamma,normal,2.0 M1,2,0
8085,JDT,UI,Claude_Knaus,VERIFIED,FIXED,template pref page: exception while importing incorrect file,2/13/2002 8:03,Claude Knaus,Eclipse,PC,3,1/23/2002 6:39,Windows 2000,P1,akiezun,Adam Kiezun,normal,---,2,0
60918,Platform,Debug,cocoakevin,VERIFIED,FIXED,[KeyBindings] Some key bindings not working,5/7/2004 0:50,Kevin Barnes,Eclipse,PC,15,5/4/2004 12:05,Windows XP,P1,dj.houghton,DJ Houghton,major,3.0 M9,3,0
77462,Platform,Debug,cocoakevin,VERIFIED,FIXED,CVS Plug-in fails to start,11/3/2004 14:46,Kevin Barnes,Eclipse,PC,11,11/2/2004 6:40,Windows XP,P1,daniel_megert,Dani Megert,blocker,3.1 M3,3,0
36267,Platform,UI,csmclaren,VERIFIED,FIXED,[Key Bindings] Key binding and unknown command (conflict),6/4/2003 12:03,Chris McLaren,Eclipse,PC,5,4/9/2003 4:24,Windows 2000,P1,tomdus,Tomas Dusek,critical,2.1.1,2.1,0
40170,Platform,UI,csmclaren,VERIFIED,FIXED,[Commands] Workbench.restart() throws a null pointer,7/17/2003 15:01,Chris McLaren,Eclipse,PC,7,7/15/2003 22:16,Windows XP,P1,wassim.melhem,Wassim Melhem,critical,---,3,0
132251,Platform,User Assistance,curtispd,VERIFIED,FIXED,[Help] NOT function on filters,4/17/2006 11:00,Curtis d'Entremont,Eclipse,PC,4,3/16/2006 16:27,Windows XP,P1,khalsted,Kari Halsted,enhancement,3.2 M6,3.2,0
182065,JDT,Debug,cwindatt,VERIFIED,FIXED,ClassCastException expanding inspect expression,4/16/2007 11:31,Curtis Windatt,Eclipse,PC,4,4/11/2007 23:35,Windows XP,P1,darin.eclipse,Darin Wright,normal,3.3 M7,3.3,0
406608,PDE,UI,cwindatt,VERIFIED,FIXED,PDE has renamed LauncherUtils.clearWorkspace(),5/24/2013 6:33,Curtis Windatt,Eclipse,PC,8,4/25/2013 15:25,Windows 7,P1,cwindatt,Curtis Windatt,normal,4.3 RC1,4.3,0
432847,Platform,UI,daniel.rolka,VERIFIED,FIXED,[Contributions] Duplicate view toolbar buttons; menu enablement problems in Git Repositories view,5/12/2014 13:12,Daniel Rolka,Eclipse,PC,36,4/15/2014 13:03,Windows 7,P1,markus_keller,Markus Keller,critical,4.4 M7,4.4,0
433197,Platform,UI,daniel.rolka,VERIFIED,FIXED,[CSS] After switching the CSS theme the DND handles disappear from the trim bars,4/29/2014 5:22,Daniel Rolka,Eclipse,PC,7,4/22/2014 8:29,Windows 7,P1,daniel.rolka,Daniel Rolka,major,4.4 M7,4.4,0
433830,Platform,UI,daniel.rolka,VERIFIED,FIXED,Part's background color is wrong,6/4/2014 5:17,Daniel Rolka,Eclipse,PC,20,4/30/2014 6:12,Windows 7,P1,daniel_megert,Dani Megert,major,4.4 M7,4.4,0
434134,Platform,UI,daniel.rolka,VERIFIED,FIXED,[CSS] Active part's 2nd line toolbar background color looks wrong,5/22/2014 16:18,Daniel Rolka,Eclipse,PC,16,5/5/2014 12:55,Windows 7,P1,markus_keller,Markus Keller,normal,4.4 RC2,4.4,0
3672,JDT,UI,daniel_megert,VERIFIED,FIXED,DCR: Add working set support,1/17/2002 8:24,Dani Megert,Eclipse,All,4,10/10/2001 22:58,All,P1,carolynmacleod4,Carolyn MacLeod,enhancement,---,2,0
5476,JDT,UI,daniel_megert,VERIFIED,FIXED,TVT Text extension/truncation problem in jar packager,11/8/2001 11:22,Dani Megert,Eclipse,PC,8,11/2/2001 11:42,All,P1,scottf,Scott Fairbrother,minor,---,1,0
6580,JDT,UI,daniel_megert,VERIFIED,FIXED,Not possible to select a main class in export jar wizard,1/16/2002 3:57,Dani Megert,Eclipse,PC,2,12/5/2001 4:52,Windows NT,P1,m.moebius,Martin Möbius,normal,---,2,0
17273,JDT,UI,daniel_megert,VERIFIED,FIXED,Reconcile with errors - incorrect problem merging,6/4/2002 5:43,Dani Megert,Eclipse,PC,6,5/23/2002 10:04,Windows 2000,P1,philippe_mulet,Philipe Mulet,major,2.0 F2,2,0
17277,JDT,UI,daniel_megert,VERIFIED,FIXED,Java Editor: converting line delimiters and undo,6/4/2002 5:31,Dani Megert,Eclipse,PC,8,5/23/2002 10:09,Windows 2000,P1,andre_weinand,Andre Weinand,major,2.0 F2,2,0
17423,JDT,UI,daniel_megert,VERIFIED,FIXED,Revert apears twice in the popup menu.,6/3/2002 10:59,Dani Megert,Eclipse,PC,6,5/23/2002 13:49,Windows 2000,P1,eduardo_pereira,Eduardo Pereira,major,2.0 F2,2,0
17536,Platform,Compare,daniel_megert,VERIFIED,FIXED,NPE in compare,6/3/2002 10:35,Dani Megert,Eclipse,PC,6,5/23/2002 19:35,Windows XP,P1,peter_burka,Peter Burka,critical,2.0 F2,2,0
18085,Platform,Search,daniel_megert,VERIFIED,FIXED,"Using ""h"" mnemonic in file or java search page switches to Help page",6/13/2002 4:23,Dani Megert,Eclipse,PC,13,5/28/2002 14:19,Windows 2000,P1,konradk,Konrad Kolosowski,normal,2.0 F3,2,0
19108,JDT,UI,daniel_megert,VERIFIED,FIXED,Type Hierarchy: Icons shown as red squares,6/13/2002 8:01,Dani Megert,Eclipse,PC,5,6/4/2002 11:46,Windows 2000,P1,daniel_megert,Dani Megert,critical,2.0 F3,2,0
19261,Platform,Search,daniel_megert,VERIFIED,FIXED,Text search should not use TEXT from team,6/13/2002 4:45,Dani Megert,Eclipse,PC,4,6/5/2002 4:24,Windows 2000,P1,daniel_megert,Dani Megert,critical,2.0 F3,2,0
